NAMESPACE     LAST SEEN   TYPE      REASON                           OBJECT                             MESSAGE
default       3m52s       Normal    NodeNotReady                     node/k3s-s2                        Node k3s-s2 status is now: NodeNotReady
kube-system   3m52s       Warning   NodeNotReady                     pod/svclb-traefik-405c6267-qjd7p   Node is not ready
default       12m         Normal    NodeNotReady                     node/k3s-s3                        Node k3s-s3 status is now: NodeNotReady
kube-system   12m         Warning   NodeNotReady                     pod/svclb-traefik-405c6267-zltz2   Node is not ready
kube-system   12m         Normal    UpdatedLoadBalancer              service/traefik                    Updated LoadBalancer with new IPs: [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.132 192.168.228.133] -> [192.168.228.129 192.168.228.130 192.168.228.132 192.168.228.133]
testapp       136m        Normal    SuccessfulCreate                 replicaset/nginx-test-7976d45f7d   Created pod: nginx-test-7976d45f7d-tcl7h
testapp       136m        Normal    Scheduled                        pod/nginx-test-7976d45f7d-tcl7h    Successfully assigned testapp/nginx-test-7976d45f7d-tcl7h to k3s-s2
testapp       136m        Normal    TaintManagerEviction             pod/nginx-test-7976d45f7d-qmbgp    Marking for deletion Pod testapp/nginx-test-7976d45f7d-qmbgp
testapp       136m        Normal    Started                          pod/nginx-test-7976d45f7d-tcl7h    Container started
testapp       136m        Normal    Created                          pod/nginx-test-7976d45f7d-tcl7h    Container created
testapp       136m        Normal    Pulled                           pod/nginx-test-7976d45f7d-tcl7h    Container image "nginx:stable" already present on machine and can be accessed by the pod
default       134m        Normal    NodeAllocatableEnforced          node/k3s-s3                        Updated Node Allocatable limit across pods
default       134m        Warning   Rebooted                         node/k3s-s3                        Node k3s-s3 has been rebooted, boot id: f246a597-48a4-4c03-8bd2-664ea00e75d0
default       134m        Normal    NodeReady                        node/k3s-s3                        Node k3s-s3 status is now: NodeReady
default       134m        Normal    Starting                         node/k3s-s3                        
default       134m        Normal    NodeHasSufficientMemory          node/k3s-s3                        Node k3s-s3 status is now: NodeHasSufficientMemory
default       134m        Normal    NodeHasSufficientPID             node/k3s-s3                        Node k3s-s3 status is now: NodeHasSufficientPID
