request_start_time,request_end_time,status_code,duration_ms,success,error
2026-06-19T09:18:13.369775+00:00,2026-06-19T09:18:13.372941+00:00,200,3.17,True,
2026-06-19T09:18:14.369952+00:00,2026-06-19T09:18:14.384834+00:00,200,14.88,True,
2026-06-19T09:18:15.370158+00:00,2026-06-19T09:18:15.377147+00:00,200,6.99,True,
2026-06-19T09:18:16.370254+00:00,2026-06-19T09:18:16.375760+00:00,200,5.51,True,
2026-06-19T09:18:17.370395+00:00,2026-06-19T09:18:17.382355+00:00,200,11.96,True,
2026-06-19T09:18:18.370529+00:00,2026-06-19T09:18:18.374387+00:00,200,3.86,True,
2026-06-19T09:18:19.370620+00:00,2026-06-19T09:18:19.378864+00:00,200,8.24,True,
2026-06-19T09:18:20.370793+00:00,2026-06-19T09:18:20.384712+00:00,200,13.92,True,
2026-06-19T09:18:21.370958+00:00,2026-06-19T09:18:21.377949+00:00,200,6.99,True,
2026-06-19T09:18:22.371164+00:00,2026-06-19T09:18:22.385874+00:00,200,14.71,True,
2026-06-19T09:18:23.371360+00:00,2026-06-19T09:18:23.379357+00:00,200,8.0,True,
2026-06-19T09:18:24.371597+00:00,2026-06-19T09:18:24.380495+00:00,200,8.9,True,
2026-06-19T09:18:25.371817+00:00,2026-06-19T09:18:25.374942+00:00,200,3.12,True,
2026-06-19T09:18:26.372091+00:00,2026-06-19T09:18:26.378199+00:00,200,6.11,True,
2026-06-19T09:18:27.372420+00:00,2026-06-19T09:18:27.377433+00:00,200,5.01,True,
2026-06-19T09:18:28.372696+00:00,2026-06-19T09:18:28.378685+00:00,200,5.99,True,
2026-06-19T09:18:29.372910+00:00,2026-06-19T09:18:29.388248+00:00,200,15.34,True,
2026-06-19T09:18:30.373178+00:00,2026-06-19T09:18:30.375882+00:00,200,2.7,True,
2026-06-19T09:18:31.373708+00:00,2026-06-19T09:18:31.382010+00:00,200,8.3,True,
2026-06-19T09:18:32.373901+00:00,2026-06-19T09:18:32.387332+00:00,200,13.43,True,
2026-06-19T09:18:33.374141+00:00,2026-06-19T09:18:33.381527+00:00,200,7.39,True,
2026-06-19T09:18:34.374291+00:00,2026-06-19T09:18:34.378385+00:00,200,4.09,True,
2026-06-19T09:18:35.374491+00:00,2026-06-19T09:18:35.384057+00:00,200,9.57,True,
2026-06-19T09:18:36.374736+00:00,2026-06-19T09:18:36.379111+00:00,200,4.38,True,
2026-06-19T09:18:37.375115+00:00,2026-06-19T09:18:37.380664+00:00,200,5.55,True,
2026-06-19T09:18:38.375262+00:00,2026-06-19T09:18:38.381386+00:00,200,6.12,True,
2026-06-19T09:18:39.375386+00:00,2026-06-19T09:18:39.379596+00:00,200,4.21,True,
2026-06-19T09:18:40.375665+00:00,2026-06-19T09:18:40.384521+00:00,200,8.86,True,
2026-06-19T09:18:41.375846+00:00,2026-06-19T09:18:41.384517+00:00,200,8.67,True,
2026-06-19T09:18:42.376122+00:00,2026-06-19T09:18:42.381701+00:00,200,5.58,True,
2026-06-19T09:18:43.376201+00:00,2026-06-19T09:18:43.379659+00:00,200,3.46,True,
2026-06-19T09:18:44.376308+00:00,2026-06-19T09:18:44.379515+00:00,200,3.21,True,
2026-06-19T09:18:45.376387+00:00,2026-06-19T09:18:45.385474+00:00,200,9.09,True,
2026-06-19T09:18:46.376552+00:00,2026-06-19T09:18:46.379688+00:00,200,3.14,True,
2026-06-19T09:18:47.376758+00:00,2026-06-19T09:18:47.384208+00:00,200,7.45,True,
2026-06-19T09:18:48.376899+00:00,2026-06-19T09:18:48.380361+00:00,200,3.46,True,
2026-06-19T09:18:49.377098+00:00,2026-06-19T09:18:49.388339+00:00,200,11.24,True,
2026-06-19T09:18:50.377269+00:00,2026-06-19T09:18:50.380869+00:00,200,3.6,True,
2026-06-19T09:18:51.377466+00:00,2026-06-19T09:18:51.384594+00:00,200,7.13,True,
2026-06-19T09:18:52.377751+00:00,2026-06-19T09:18:52.383960+00:00,200,6.21,True,
2026-06-19T09:18:53.377859+00:00,2026-06-19T09:18:53.380619+00:00,200,2.76,True,
2026-06-19T09:18:54.378033+00:00,2026-06-19T09:18:54.385823+00:00,200,7.79,True,
2026-06-19T09:18:55.378174+00:00,2026-06-19T09:18:55.382762+00:00,200,4.59,True,
2026-06-19T09:18:56.378450+00:00,2026-06-19T09:18:56.385569+00:00,200,7.12,True,
2026-06-19T09:18:57.378662+00:00,2026-06-19T09:18:57.382847+00:00,200,4.19,True,
2026-06-19T09:18:58.379047+00:00,2026-06-19T09:18:58.384330+00:00,200,5.28,True,
2026-06-19T09:18:59.379181+00:00,2026-06-19T09:18:59.383123+00:00,200,3.94,True,
2026-06-19T09:19:00.379331+00:00,2026-06-19T09:19:00.381261+00:00,200,1.93,True,
2026-06-19T09:19:01.379784+00:00,2026-06-19T09:19:01.384119+00:00,200,4.33,True,
