NAMESPACE     LAST SEEN   TYPE      REASON                         OBJECT                             MESSAGE
testapp       2m          Normal    Scheduled                      pod/nginx-test-7976d45f7d-jx5bm    Successfully assigned testapp/nginx-test-7976d45f7d-jx5bm to k3s-s1
testapp       2m          Normal    ScalingReplicaSet              deployment/nginx-test              Scaled up replica set nginx-test-7976d45f7d from 0 to 1
testapp       2m          Warning   ReplicaSetCreateError          deployment/nginx-test              Failed to create new replica set "nginx-test-7976d45f7d": Unauthorized
testapp       2m          Normal    SuccessfulCreate               replicaset/nginx-test-7976d45f7d   Created pod: nginx-test-7976d45f7d-jx5bm
testapp       2m          Normal    Started                        pod/nginx-test-7976d45f7d-jx5bm    Container started
testapp       2m          Normal    Created                        pod/nginx-test-7976d45f7d-jx5bm    Container created
testapp       2m          Normal    Pulled                         pod/nginx-test-7976d45f7d-jx5bm    Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       119s        Normal    SuccessfulCreate               replicaset/nginx-test-7976d45f7d   Created pod: nginx-test-7976d45f7d-82g9t
testapp       119s        Normal    SuccessfulDelete               replicaset/nginx-test-54db47f9bb   Deleted pod: nginx-test-54db47f9bb-wndrd
testapp       119s        Normal    Created                        pod/nginx-test-7976d45f7d-82g9t    Container created
testapp       119s        Normal    Started                        pod/nginx-test-7976d45f7d-82g9t    Container started
testapp       119s        Normal    ScalingReplicaSet              deployment/nginx-test              Scaled up replica set nginx-test-7976d45f7d from 1 to 2
testapp       119s        Normal    ScalingReplicaSet              deployment/nginx-test              Scaled down replica set nginx-test-54db47f9bb from 3 to 2
testapp       119s        Normal    Pulled                         pod/nginx-test-7976d45f7d-82g9t    Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       119s        Warning   FailedToUpdateEndpointSlices   service/nginx-service              Error updating Endpoint Slices for Service testapp/nginx-service: failed to update nginx-service-frpd6 EndpointSlice for Service testapp/nginx-service: Unauthorized
testapp       119s        Normal    Scheduled                      pod/nginx-test-7976d45f7d-82g9t    Successfully assigned testapp/nginx-test-7976d45f7d-82g9t to k3s-s2
testapp       119s        Warning   FailedToUpdateEndpoint         endpoints/nginx-service            Failed to update endpoint testapp/nginx-service: Unauthorized
