NAMESPACE     LAST SEEN   TYPE      REASON                OBJECT                                                          MESSAGE
monitoring    59m         Normal    Scheduled             pod/monitoring-kube-state-metrics-69f7666d6d-7ktc6              Successfully assigned monitoring/monitoring-kube-state-metrics-69f7666d6d-7ktc6 to k3s-s1
monitoring    60m         Normal    Killing               pod/prometheus-monitoring-kube-prometheus-prometheus-0          Stopping container prometheus
kube-system   60m         Normal    ScalingReplicaSet     deployment/coredns                                              Scaled down replica set coredns-8db54c48d from 1 to 0
monitoring    59m         Normal    Pulling               pod/monitoring-kube-state-metrics-69f7666d6d-7ktc6              Pulling image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.19.0"
kube-system   59m         Normal    UpdatedLoadBalancer   service/traefik                                                 Updated LoadBalancer with new IPs: [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.132 192.168.228.133] -> [192.168.228.129 192.168.228.130 192.168.228.131 192.168.228.132 192.168.228.133]
kube-system   60m         Normal    SuccessfulDelete      replicaset/coredns-8db54c48d                                    Deleted pod: coredns-8db54c48d-sn2qq
monitoring    60m         Normal    SuccessfulCreate      replicaset/monitoring-kube-prometheus-operator-7bfb6fff69       Created pod: monitoring-kube-prometheus-operator-7bfb6fff69-hvhbl
monitoring    59m         Normal    Created               pod/monitoring-kube-state-metrics-69f7666d6d-7ktc6              Container created
monitoring    59m         Normal    Started               pod/monitoring-kube-state-metrics-69f7666d6d-7ktc6              Container started
monitoring    59m         Normal    Pulled                pod/monitoring-kube-state-metrics-69f7666d6d-7ktc6              Successfully pulled image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.19.0" in 1.93s (1.93s including waiting). Image size: 16909605 bytes.
monitoring    60m         Normal    ScalingReplicaSet     deployment/monitoring-kube-state-metrics                        Scaled up replica set monitoring-kube-state-metrics-69f7666d6d from 0 to 1
kube-system   59m         Normal    Killing               pod/traefik-9bcdbbd9-6gg4g                                      Stopping container traefik
monitoring    59m         Normal    SuccessfulCreate      replicaset/monitoring-kube-state-metrics-69f7666d6d             Created pod: monitoring-kube-state-metrics-69f7666d6d-7ktc6
monitoring    59m         Normal    Killing               pod/monitoring-kube-prometheus-operator-6c855c6b6b-zhp9x        Stopping container kube-prometheus-stack
monitoring    59m         Normal    ScalingReplicaSet     deployment/monitoring-grafana                                   Scaled down replica set monitoring-grafana-675bb54659 from 1 to 0
monitoring    59m         Normal    SuccessfulDelete      replicaset/monitoring-grafana-675bb54659                        Deleted pod: monitoring-grafana-675bb54659-9d85t
monitoring    59m         Normal    Killing               pod/monitoring-grafana-675bb54659-9d85t                         Stopping container grafana-sc-datasources
monitoring    59m         Normal    ScalingReplicaSet     deployment/monitoring-kube-prometheus-operator                  Scaled down replica set monitoring-kube-prometheus-operator-6c855c6b6b from 1 to 0
monitoring    59m         Normal    SuccessfulDelete      replicaset/monitoring-kube-prometheus-operator-6c855c6b6b       Deleted pod: monitoring-kube-prometheus-operator-6c855c6b6b-zhp9x
kube-system   60m         Normal    SuccessfulDelete      replicaset/metrics-server-786d997795                            Deleted pod: metrics-server-786d997795-qddld
monitoring    59m         Normal    Killing               pod/monitoring-grafana-675bb54659-9d85t                         Stopping container grafana
monitoring    59m         Normal    Killing               pod/monitoring-grafana-675bb54659-9d85t                         Stopping container grafana-sc-dashboard
kube-system   59m         Normal    ScalingReplicaSet     deployment/traefik                                              Scaled down replica set traefik-9bcdbbd9 from 1 to 0
kube-system   59m         Normal    SuccessfulDelete      replicaset/traefik-9bcdbbd9                                     Deleted pod: traefik-9bcdbbd9-6gg4g
monitoring    59m         Normal    Scheduled             pod/prometheus-monitoring-kube-prometheus-prometheus-0          Successfully assigned monitoring/prometheus-monitoring-kube-prometheus-prometheus-0 to k3s-s2
monitoring    59m         Normal    Pulled                pod/prometheus-monitoring-kube-prometheus-prometheus-0          Container image "quay.io/prometheus-operator/prometheus-config-reloader:v0.90.1" already present on machine and can be accessed by the pod
