timestamp,status_code,response_time_ms,success,error
2026-05-29T13:42:42.997996+00:00,200,2.44,True,
2026-05-29T13:42:44.000848+00:00,200,2.69,True,
2026-05-29T13:42:45.003888+00:00,200,4.34,True,
2026-05-29T13:42:46.008512+00:00,200,4.25,True,
2026-05-29T13:42:47.013074+00:00,200,3.32,True,
2026-05-29T13:42:48.017023+00:00,200,3.62,True,
2026-05-29T13:42:49.020908+00:00,200,5.04,True,
2026-05-29T13:42:50.026441+00:00,200,4.59,True,
2026-05-29T13:42:51.031521+00:00,200,2.84,True,
2026-05-29T13:42:52.034758+00:00,200,3.51,True,
2026-05-29T13:42:53.038635+00:00,200,3.24,True,
2026-05-29T13:42:54.042233+00:00,200,3.6,True,
2026-05-29T13:42:55.046215+00:00,200,2.44,True,
2026-05-29T13:42:56.048947+00:00,200,4.85,True,
2026-05-29T13:42:57.054107+00:00,200,4.4,True,
2026-05-29T13:42:58.058735+00:00,200,3.21,True,
2026-05-29T13:42:59.062434+00:00,200,3.13,True,
2026-05-29T13:43:00.065730+00:00,200,2.48,True,
2026-05-29T13:43:01.068408+00:00,200,3.13,True,
2026-05-29T13:43:02.071851+00:00,200,6.12,True,
2026-05-29T13:43:03.078645+00:00,200,5.05,True,
2026-05-29T13:43:04.083953+00:00,200,2.89,True,
2026-05-29T13:43:05.087175+00:00,200,5.59,True,
2026-05-29T13:43:06.093083+00:00,200,3.63,True,
2026-05-29T13:43:07.096972+00:00,200,3.04,True,
2026-05-29T13:43:08.100235+00:00,200,4.27,True,
2026-05-29T13:43:09.104728+00:00,200,2.8,True,
2026-05-29T13:43:10.107776+00:00,200,2.35,True,
2026-05-29T13:43:11.110321+00:00,200,3.8,True,
2026-05-29T13:43:12.114451+00:00,200,2.82,True,
2026-05-29T13:43:13.117519+00:00,200,2.54,True,
2026-05-29T13:43:14.120295+00:00,200,1.54,True,
2026-05-29T13:43:15.122086+00:00,200,1.8,True,
2026-05-29T13:43:16.124588+00:00,200,1.65,True,
2026-05-29T13:43:17.126522+00:00,200,1.85,True,
2026-05-29T13:43:18.128786+00:00,200,2.47,True,
2026-05-29T13:43:19.131457+00:00,200,1.78,True,
2026-05-29T13:43:20.133501+00:00,200,1.31,True,
2026-05-29T13:43:21.134961+00:00,200,1.99,True,
2026-05-29T13:43:22.137230+00:00,200,2.01,True,
2026-05-29T13:43:23.139572+00:00,200,3.3,True,
2026-05-29T13:43:24.143472+00:00,200,2.67,True,
2026-05-29T13:43:25.146410+00:00,,2003.76,False,ConnectTimeout
2026-05-29T13:43:28.150909+00:00,,2003.88,False,ConnectTimeout
2026-05-29T13:43:31.155398+00:00,,2004.43,False,ConnectTimeout
2026-05-29T13:43:34.160187+00:00,200,5.03,True,
2026-05-29T13:43:35.165769+00:00,200,2.9,True,
2026-05-29T13:43:36.168901+00:00,200,2.06,True,
2026-05-29T13:43:37.171303+00:00,,2003.7,False,ConnectTimeout
2026-05-29T13:43:40.175381+00:00,200,3.07,True,
2026-05-29T13:43:41.178720+00:00,200,3.05,True,
2026-05-29T13:43:42.182059+00:00,200,6.27,True,
2026-05-29T13:43:43.188650+00:00,200,2.98,True,
2026-05-29T13:43:44.192142+00:00,,2003.93,False,ConnectTimeout
2026-05-29T13:43:47.196565+00:00,,2004.68,False,ConnectTimeout
2026-05-29T13:43:50.201705+00:00,200,2.8,True,
2026-05-29T13:43:51.204945+00:00,200,2.6,True,
2026-05-29T13:43:52.208299+00:00,,2003.44,False,ConnectTimeout
2026-05-29T13:43:55.212099+00:00,200,4.48,True,
2026-05-29T13:43:56.216896+00:00,,2003.87,False,ConnectTimeout
2026-05-29T13:43:59.221137+00:00,200,2.78,True,
2026-05-29T13:44:00.224298+00:00,200,6.84,True,
2026-05-29T13:44:01.231625+00:00,200,5.2,True,
2026-05-29T13:44:02.237246+00:00,,2004.8,False,ConnectTimeout
2026-05-29T13:44:05.242563+00:00,200,4.78,True,
2026-05-29T13:44:06.247625+00:00,200,2.77,True,
2026-05-29T13:44:07.250738+00:00,,2003.36,False,ConnectTimeout
2026-05-29T13:44:10.254687+00:00,200,3.41,True,
2026-05-29T13:44:11.258295+00:00,200,2.88,True,
2026-05-29T13:44:12.261378+00:00,200,2.99,True,
2026-05-29T13:44:13.264571+00:00,200,1.52,True,
2026-05-29T13:44:14.266512+00:00,200,3.08,True,
2026-05-29T13:44:15.269829+00:00,200,2.9,True,
2026-05-29T13:44:16.272960+00:00,200,1.3,True,
2026-05-29T13:44:17.274697+00:00,200,2.78,True,
2026-05-29T13:44:18.278174+00:00,200,2.84,True,
2026-05-29T13:44:19.281416+00:00,200,3.6,True,
2026-05-29T13:44:20.285509+00:00,200,4.53,True,
2026-05-29T13:44:21.290589+00:00,200,3.8,True,
2026-05-29T13:44:22.295292+00:00,200,2.32,True,
2026-05-29T13:44:23.297940+00:00,200,2.62,True,
2026-05-29T13:44:24.300851+00:00,200,2.91,True,
2026-05-29T13:44:25.304033+00:00,200,1.36,True,
2026-05-29T13:44:26.305552+00:00,200,1.1,True,
2026-05-29T13:44:27.307524+00:00,200,1.25,True,
2026-05-29T13:44:28.309010+00:00,200,2.09,True,
2026-05-29T13:44:29.311292+00:00,200,1.19,True,
2026-05-29T13:44:30.312634+00:00,200,1.09,True,
2026-05-29T13:44:31.313835+00:00,200,1.38,True,
2026-05-29T13:44:32.315358+00:00,200,2.07,True,
2026-05-29T13:44:33.318257+00:00,200,2.56,True,
2026-05-29T13:44:34.321109+00:00,200,1.91,True,
2026-05-29T13:44:35.323322+00:00,200,1.3,True,
2026-05-29T13:44:36.324950+00:00,200,1.39,True,
2026-05-29T13:44:37.326993+00:00,200,1.31,True,
2026-05-29T13:44:38.328583+00:00,200,2.0,True,
2026-05-29T13:44:39.330807+00:00,200,3.28,True,
2026-05-29T13:44:40.334379+00:00,200,2.34,True,
2026-05-29T13:44:41.336997+00:00,200,4.24,True,
2026-05-29T13:44:42.341525+00:00,200,5.78,True,
2026-05-29T13:44:43.348072+00:00,200,3.76,True,
2026-05-29T13:44:44.352181+00:00,200,4.57,True,
2026-05-29T13:44:45.357042+00:00,200,1.23,True,
2026-05-29T13:44:46.358588+00:00,200,2.9,True,
2026-05-29T13:44:47.361681+00:00,200,1.29,True,
2026-05-29T13:44:48.363256+00:00,200,6.53,True,
2026-05-29T13:44:49.370117+00:00,200,2.45,True,
2026-05-29T13:44:50.372817+00:00,200,2.52,True,
2026-05-29T13:44:51.375560+00:00,200,2.38,True,
2026-05-29T13:44:52.379177+00:00,200,4.41,True,
2026-05-29T13:44:53.384436+00:00,200,2.42,True,
2026-05-29T13:44:54.387667+00:00,200,3.09,True,
2026-05-29T13:44:55.390990+00:00,200,1.76,True,
2026-05-29T13:44:56.393039+00:00,200,2.96,True,
2026-05-29T13:44:57.396513+00:00,200,4.68,True,
2026-05-29T13:44:58.401605+00:00,200,2.88,True,
2026-05-29T13:44:59.404757+00:00,200,2.65,True,
2026-05-29T13:45:00.408405+00:00,200,3.14,True,
2026-05-29T13:45:01.411800+00:00,200,3.73,True,
2026-05-29T13:45:02.415808+00:00,200,1.68,True,
2026-05-29T13:45:03.417675+00:00,200,1.27,True,
2026-05-29T13:45:04.419121+00:00,200,2.48,True,
2026-05-29T13:45:05.421856+00:00,200,2.47,True,
