request_start_time,request_end_time,status_code,duration_ms,success,error
2026-06-19T09:50:08.133602+00:00,2026-06-19T09:50:08.136881+00:00,200,3.28,True,
2026-06-19T09:50:09.133755+00:00,2026-06-19T09:50:09.137782+00:00,200,4.03,True,
2026-06-19T09:50:10.134028+00:00,2026-06-19T09:50:10.137136+00:00,200,3.11,True,
2026-06-19T09:50:11.134198+00:00,2026-06-19T09:50:11.139848+00:00,200,5.65,True,
2026-06-19T09:50:12.134375+00:00,2026-06-19T09:50:12.136820+00:00,200,2.45,True,
2026-06-19T09:50:13.134456+00:00,2026-06-19T09:50:13.137949+00:00,200,3.49,True,
2026-06-19T09:50:14.134573+00:00,2026-06-19T09:50:14.139597+00:00,200,5.02,True,
2026-06-19T09:50:15.134730+00:00,2026-06-19T09:50:15.138150+00:00,200,3.42,True,
2026-06-19T09:50:16.134962+00:00,2026-06-19T09:50:16.137762+00:00,200,2.8,True,
2026-06-19T09:50:17.135276+00:00,2026-06-19T09:50:17.141261+00:00,200,5.98,True,
2026-06-19T09:50:18.135411+00:00,2026-06-19T09:50:18.139054+00:00,200,3.64,True,
2026-06-19T09:50:19.135580+00:00,2026-06-19T09:50:19.138754+00:00,200,3.17,True,
2026-06-19T09:50:20.135957+00:00,2026-06-19T09:50:20.140262+00:00,200,4.3,True,
2026-06-19T09:50:21.136121+00:00,2026-06-19T09:50:21.142811+00:00,200,6.69,True,
2026-06-19T09:50:22.136588+00:00,2026-06-19T09:50:22.142082+00:00,200,5.49,True,
2026-06-19T09:50:23.136783+00:00,2026-06-19T09:50:23.142113+00:00,200,5.33,True,
2026-06-19T09:50:24.136930+00:00,2026-06-19T09:50:24.140578+00:00,200,3.65,True,
2026-06-19T09:50:25.137156+00:00,2026-06-19T09:50:25.142793+00:00,200,5.64,True,
2026-06-19T09:50:26.137627+00:00,2026-06-19T09:50:26.145913+00:00,200,8.29,True,
2026-06-19T09:50:27.138241+00:00,2026-06-19T09:50:27.142054+00:00,200,3.81,True,
2026-06-19T09:50:28.138587+00:00,2026-06-19T09:50:28.140517+00:00,200,1.93,True,
2026-06-19T09:50:29.138950+00:00,2026-06-19T09:50:29.144282+00:00,200,5.33,True,
2026-06-19T09:50:30.139688+00:00,2026-06-19T09:50:30.143865+00:00,200,4.18,True,
2026-06-19T09:50:31.139807+00:00,2026-06-19T09:50:31.143732+00:00,200,3.92,True,
2026-06-19T09:50:32.140609+00:00,2026-06-19T09:50:32.144690+00:00,200,4.08,True,
2026-06-19T09:50:33.140754+00:00,2026-06-19T09:50:33.147278+00:00,200,6.52,True,
2026-06-19T09:50:34.140976+00:00,2026-06-19T09:50:34.143764+00:00,200,2.79,True,
2026-06-19T09:50:35.141190+00:00,2026-06-19T09:50:35.151176+00:00,200,9.99,True,
2026-06-19T09:50:36.141931+00:00,2026-06-19T09:50:36.146876+00:00,200,4.94,True,
2026-06-19T09:50:37.142909+00:00,2026-06-19T09:50:37.146345+00:00,200,3.44,True,
2026-06-19T09:50:38.142995+00:00,2026-06-19T09:50:38.146055+00:00,200,3.06,True,
2026-06-19T09:50:39.143352+00:00,2026-06-19T09:50:39.148050+00:00,200,4.7,True,
2026-06-19T09:50:40.143675+00:00,2026-06-19T09:50:40.146117+00:00,200,2.44,True,
2026-06-19T09:50:41.143838+00:00,2026-06-19T09:50:41.151438+00:00,200,7.6,True,
2026-06-19T09:50:42.144444+00:00,2026-06-19T09:50:42.147928+00:00,200,3.48,True,
2026-06-19T09:50:43.144664+00:00,2026-06-19T09:50:43.149199+00:00,200,4.54,True,
2026-06-19T09:50:44.145030+00:00,2026-06-19T09:50:44.151445+00:00,200,6.42,True,
2026-06-19T09:50:45.145230+00:00,2026-06-19T09:50:45.150493+00:00,200,5.26,True,
2026-06-19T09:50:46.145504+00:00,2026-06-19T09:50:46.153681+00:00,200,8.18,True,
2026-06-19T09:50:47.146346+00:00,2026-06-19T09:50:47.149897+00:00,200,3.55,True,
2026-06-19T09:50:48.146622+00:00,2026-06-19T09:50:48.152158+00:00,200,5.54,True,
2026-06-19T09:50:49.146945+00:00,2026-06-19T09:50:49.152161+00:00,200,5.22,True,
2026-06-19T09:50:50.147037+00:00,2026-06-19T09:50:50.150896+00:00,200,3.86,True,
2026-06-19T09:50:51.147159+00:00,2026-06-19T09:50:51.151970+00:00,200,4.81,True,
2026-06-19T09:50:52.147325+00:00,2026-06-19T09:50:52.153358+00:00,200,6.03,True,
2026-06-19T09:50:53.147436+00:00,2026-06-19T09:50:53.150077+00:00,200,2.64,True,
2026-06-19T09:50:54.147863+00:00,2026-06-19T09:50:54.157479+00:00,200,9.62,True,
2026-06-19T09:50:55.148680+00:00,2026-06-19T09:50:55.154605+00:00,200,5.92,True,
2026-06-19T09:50:56.148821+00:00,2026-06-19T09:50:56.155469+00:00,200,6.65,True,
2026-06-19T09:50:57.149129+00:00,2026-06-19T09:50:57.158906+00:00,200,9.78,True,
2026-06-19T09:50:58.149373+00:00,2026-06-19T09:50:58.155626+00:00,200,6.25,True,
2026-06-19T09:50:59.149619+00:00,2026-06-19T09:50:59.152126+00:00,200,2.51,True,
2026-06-19T09:51:00.150173+00:00,2026-06-19T09:51:00.153030+00:00,200,2.86,True,
2026-06-19T09:51:01.150937+00:00,2026-06-19T09:51:01.157233+00:00,200,6.3,True,
2026-06-19T09:51:02.151136+00:00,2026-06-19T09:51:02.154451+00:00,200,3.31,True,
2026-06-19T09:51:03.151246+00:00,2026-06-19T09:51:03.155252+00:00,200,4.01,True,
2026-06-19T09:51:04.151503+00:00,2026-06-19T09:51:04.158249+00:00,200,6.75,True,
