role,runs_total,node_notready_detected_runs,node_ready_detected_runs,success_rate_mean_percent,success_rate_median_percent,success_rate_std_percent,success_rate_min_percent,success_rate_max_percent,error_rate_mean_percent,error_rate_max_percent,node_notready_seconds_mean,node_notready_seconds_median,node_notready_seconds_min,node_notready_seconds_max,node_recovery_seconds_mean,node_recovery_seconds_median,node_recovery_seconds_min,node_recovery_seconds_max,vm_restart_to_ready_seconds_mean,vm_restart_to_ready_seconds_median,total_requests,ok_requests,failed_requests,pod_restart_delta_sum,manual_interventions,nodes_final_ready_runs
edge,10,10,10,90.52091663273815,90.92975948306808,1.2761178829921163,87.78280542986425,92.27941176470588,9.479083367261852,12.217194570135746,52.6,53.0,49.0,57.0,155.0,154.5,150.0,165.0,18.6,19.0,2489,2255,234,15,0,10
cloud,10,10,10,100.0,100.0,0.0,100.0,100.0,0.0,0.0,53.1,53.5,47.0,61.0,1084.4,1056.0,1055.0,1290.0,942.0,921.0,11918,11918,0,0,0,10
