NAMESPACE     LAST SEEN   TYPE      REASON                         OBJECT                             MESSAGE
testapp       17m         Normal    Killing                        pod/nginx-test-f8f6dcbc6-b9jbb     Stopping container nginx
testapp       12m         Normal    Killing                        pod/nginx-test-f8f6dcbc6-hxc4p     Stopping container nginx
testapp       12m         Normal    Scheduled                      pod/nginx-test-f8f6dcbc6-c89t4     Successfully assigned testapp/nginx-test-f8f6dcbc6-c89t4 to k3s-w1
testapp       12m         Normal    SuccessfulCreate               replicaset/nginx-test-f8f6dcbc6    Created pod: nginx-test-f8f6dcbc6-c89t4
testapp       12m         Normal    Started                        pod/nginx-test-f8f6dcbc6-c89t4     Container started
testapp       12m         Normal    Pulled                         pod/nginx-test-f8f6dcbc6-c89t4     Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       12m         Normal    Created                        pod/nginx-test-f8f6dcbc6-c89t4     Container created
testapp       10m         Normal    Pulled                         pod/nginx-test-f8f6dcbc6-9tlg8     Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       10m         Normal    Scheduled                      pod/nginx-test-f8f6dcbc6-9tlg8     Successfully assigned testapp/nginx-test-f8f6dcbc6-9tlg8 to k3s-s3
testapp       10m         Normal    Killing                        pod/nginx-test-f8f6dcbc6-c89t4     Stopping container nginx
testapp       10m         Normal    Started                        pod/nginx-test-f8f6dcbc6-9tlg8     Container started
testapp       10m         Normal    SuccessfulCreate               replicaset/nginx-test-f8f6dcbc6    Created pod: nginx-test-f8f6dcbc6-9tlg8
testapp       10m         Normal    Created                        pod/nginx-test-f8f6dcbc6-9tlg8     Container created
testapp       8m40s       Normal    SuccessfulCreate               replicaset/nginx-test-f8f6dcbc6    Created pod: nginx-test-f8f6dcbc6-v2tm8
testapp       8m40s       Normal    Started                        pod/nginx-test-f8f6dcbc6-v2tm8     Container started
testapp       8m40s       Normal    Killing                        pod/nginx-test-f8f6dcbc6-9tlg8     Stopping container nginx
testapp       8m40s       Normal    Scheduled                      pod/nginx-test-f8f6dcbc6-v2tm8     Successfully assigned testapp/nginx-test-f8f6dcbc6-v2tm8 to k3s-w1
testapp       8m40s       Normal    Pulled                         pod/nginx-test-f8f6dcbc6-v2tm8     Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       8m40s       Normal    Created                        pod/nginx-test-f8f6dcbc6-v2tm8     Container created
testapp       6m50s       Normal    Scheduled                      pod/nginx-test-f8f6dcbc6-qgcsq     Successfully assigned testapp/nginx-test-f8f6dcbc6-qgcsq to k3s-s3
testapp       6m50s       Normal    Killing                        pod/nginx-test-f8f6dcbc6-qgfvn     Stopping container nginx
testapp       6m50s       Normal    Started                        pod/nginx-test-f8f6dcbc6-qgcsq     Container started
testapp       6m50s       Normal    Created                        pod/nginx-test-f8f6dcbc6-qgcsq     Container created
testapp       6m50s       Normal    Pulled                         pod/nginx-test-f8f6dcbc6-qgcsq     Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       6m50s       Normal    SuccessfulCreate               replicaset/nginx-test-f8f6dcbc6    Created pod: nginx-test-f8f6dcbc6-qgcsq
testapp       5m          Normal    Killing                        pod/nginx-test-f8f6dcbc6-qgcsq     Stopping container nginx
testapp       5m          Normal    SuccessfulCreate               replicaset/nginx-test-f8f6dcbc6    Created pod: nginx-test-f8f6dcbc6-lts55
testapp       5m          Normal    Pulled                         pod/nginx-test-f8f6dcbc6-lts55     Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       5m          Normal    Scheduled                      pod/nginx-test-f8f6dcbc6-lts55     Successfully assigned testapp/nginx-test-f8f6dcbc6-lts55 to k3s-w2
testapp       5m          Normal    Started                        pod/nginx-test-f8f6dcbc6-lts55     Container started
testapp       5m          Normal    Created                        pod/nginx-test-f8f6dcbc6-lts55     Container created
testapp       3m10s       Normal    Killing                        pod/nginx-test-f8f6dcbc6-lts55     Stopping container nginx
testapp       3m9s        Normal    Scheduled                      pod/nginx-test-f8f6dcbc6-nfjp6     Successfully assigned testapp/nginx-test-f8f6dcbc6-nfjp6 to k3s-s3
testapp       3m10s       Normal    Pulled                         pod/nginx-test-f8f6dcbc6-nfjp6     Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       3m10s       Normal    SuccessfulCreate               replicaset/nginx-test-f8f6dcbc6    Created pod: nginx-test-f8f6dcbc6-nfjp6
testapp       3m10s       Normal    Created                        pod/nginx-test-f8f6dcbc6-nfjp6     Container created
testapp       3m10s       Normal    Started                        pod/nginx-test-f8f6dcbc6-nfjp6     Container started
testapp       79s         Normal    Scheduled                      pod/nginx-test-f8f6dcbc6-vlpfn     Successfully assigned testapp/nginx-test-f8f6dcbc6-vlpfn to k3s-w2
testapp       80s         Normal    Killing                        pod/nginx-test-f8f6dcbc6-nfjp6     Stopping container nginx
testapp       80s         Normal    SuccessfulCreate               replicaset/nginx-test-f8f6dcbc6    Created pod: nginx-test-f8f6dcbc6-vlpfn
testapp       79s         Normal    Created                        pod/nginx-test-f8f6dcbc6-vlpfn     Container created
testapp       79s         Normal    Pulled                         pod/nginx-test-f8f6dcbc6-vlpfn     Container image "nginx:stable" already present on machine and can be accessed by the pod
testapp       79s         Normal    Started                        pod/nginx-test-f8f6dcbc6-vlpfn     Container started
