scenario,run,phase,requests_total,success,failed,success_rate,error_rate,avg_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms,timeouts,recovery_latency_s
latency-1min-short,run-01-router,baseline,180,180,0,100.00%,0.00%,4.39,3.92,7.78,11.39,1.97,12.43,,109.550074
latency-1min-short,run-01-router,fault,22,1,21,4.55%,95.45%,32179.57,3071.59,182849.99,311257.68,1.85,311257.68,,109.550074
latency-1min-short,run-01-router,after,72,72,0,100.00%,0.00%,5.52,4.88,8.85,13.53,2.89,13.53,,109.550074
latency-1min-short,run-02-router,overall,331,311,20,93.96%,6.04%,2275.63,4.51,3071.29,39003.90,1.76,295570.08,,53.20094
latency-1min-short,run-02-router,baseline,180,180,0,100.00%,0.00%,5.27,4.46,9.23,14.57,1.76,14.99,,53.20094
latency-1min-short,run-02-router,fault,22,2,20,9.09%,90.91%,34163.74,3071.93,233541.87,295570.08,2.41,295570.08,,53.20094
latency-1min-short,run-02-router,after,129,129,0,100.00%,0.00%,5.28,4.18,10.07,12.51,2.24,12.82,,53.20094
latency-1min-short,run-03-router,overall,349,346,3,99.14%,0.86%,1769.24,4.18,9.35,17.45,1.73,243148.71,,16.513291
latency-1min-short,run-03-router,baseline,180,180,0,100.00%,0.00%,5.07,4.09,9.35,11.20,1.94,17.45,,16.513291
latency-1min-short,run-03-router,fault,4,1,3,25.00%,75.00%,153926.51,186277.06,243148.71,243148.71,3.19,243148.71,,16.513291
latency-1min-short,run-03-router,after,165,165,0,100.00%,0.00%,5.12,4.26,8.70,11.65,1.73,12.24,,16.513291
latency-1min-short,run-04-router,overall,360,355,5,98.61%,1.39%,1692.48,5.25,9.78,3072.69,1.74,292225.94,,8.648614
latency-1min-short,run-04-router,baseline,180,180,0,100.00%,0.00%,5.05,4.08,8.73,11.40,1.74,13.66,,8.648614
latency-1min-short,run-04-router,fault,7,2,5,28.57%,71.43%,86755.77,3072.69,292225.94,292225.94,4.71,292225.94,,8.648614
latency-1min-short,run-04-router,after,173,173,0,100.00%,0.00%,6.33,6.74,9.65,10.78,2.36,12.73,,8.648614
latency-1min-short,run-05-router,overall,314,301,13,95.86%,4.14%,2805.57,4.70,11.15,70416.67,1.41,342815.88,,61.720902
latency-1min-short,run-05-router,baseline,180,180,0,100.00%,0.00%,5.21,4.21,9.44,10.70,1.85,13.40,,61.720902
latency-1min-short,run-05-router,fault,14,1,13,7.14%,92.86%,62808.23,3072.09,342815.88,342815.88,2.98,342815.88,,61.720902
latency-1min-short,run-05-router,after,120,120,0,100.00%,0.00%,5.78,5.52,9.54,11.15,1.41,11.50,,61.720902
latency-1min-short,run-06-router,overall,338,328,10,97.04%,2.96%,4798.50,4.58,10.45,12607.63,1.76,1227176.88,,34.357078
latency-1min-short,run-06-router,baseline,180,180,0,100.00%,0.00%,4.67,3.87,8.47,11.94,1.76,12.02,,34.357078
latency-1min-short,run-06-router,fault,11,1,10,9.09%,90.91%,147285.37,3071.97,1227176.88,1227176.88,2.34,1227176.88,,34.357078
latency-1min-short,run-06-router,after,147,147,0,100.00%,0.00%,6.23,6.36,9.63,12.45,1.82,15.68,,34.357078
latency-1min-short,run-07-router,overall,328,313,15,95.43%,4.57%,6235.49,5.15,10.39,3073.01,1.81,1636944.29,,74.288837
latency-1min-short,run-07-router,baseline,180,180,0,100.00%,0.00%,5.17,4.62,8.93,10.18,1.81,12.31,,74.288837
latency-1min-short,run-07-router,fault,16,1,15,6.25%,93.75%,127722.33,3071.30,1636944.29,1636944.29,6.00,1636944.29,,74.288837
latency-1min-short,run-07-router,after,132,132,0,100.00%,0.00%,5.69,5.37,8.82,9.45,2.84,10.39,,74.288837
latency-1min-short,run-08-router,overall,250,230,20,92.00%,8.00%,2935.05,5.26,3071.67,120348.49,2.04,315351.11,,135.2069
latency-1min-short,run-08-router,baseline,180,180,0,100.00%,0.00%,5.46,4.91,9.29,11.17,2.04,13.20,,135.2069
latency-1min-short,run-08-router,fault,23,3,20,13.04%,86.96%,31847.88,3071.74,125469.89,315351.11,2.53,315351.11,,135.2069
latency-1min-short,run-08-router,after,47,47,0,100.00%,0.00%,5.92,5.19,9.95,13.36,2.41,13.36,,135.2069
latency-1min-short,run-09-router,overall,373,348,25,93.30%,6.70%,1652.84,4.99,3071.04,37490.52,1.85,319319.47,,16.566109
latency-1min-short,run-09-router,baseline,180,180,0,100.00%,0.00%,5.85,5.29,10.00,16.83,1.85,17.31,,16.566109
latency-1min-short,run-09-router,fault,28,3,25,10.71%,89.29%,21951.02,3071.66,122076.59,319319.47,2.31,319319.47,,16.566109
latency-1min-short,run-09-router,after,165,165,0,100.00%,0.00%,5.02,4.05,8.80,10.03,2.11,12.67,,16.566109
latency-1min-short,run-10-router,overall,375,362,13,96.53%,3.47%,1604.57,4.47,10.75,37806.99,1.44,240074.61,,1.173566
latency-1min-short,run-10-router,baseline,180,180,0,100.00%,0.00%,5.21,4.13,9.05,11.16,1.89,11.65,,1.173566
latency-1min-short,run-10-router,fault,15,2,13,13.33%,86.67%,39990.43,3071.87,240074.61,240074.61,2.11,240074.61,,1.173566
latency-1min-short,run-10-router,after,180,180,0,100.00%,0.00%,5.11,4.22,8.72,11.00,1.44,11.93,,1.173566
latency-10min-async-limited,run-01-router,overall,1331,181,1150,13.60%,86.40%,20844.04,1121.27,87079.03,351731.27,1.02,1401714.01,,NA
latency-10min-async-limited,run-01-router,baseline,180,180,0,100.00%,0.00%,2.69,2.33,4.48,5.49,1.02,5.94,,NA
latency-10min-async-limited,run-01-router,fault,1151,1,1150,0.09%,99.91%,24103.33,2049.56,301755.65,351929.40,44.37,1401714.01,,NA
latency-10min-async-limited,run-01-router,after,0,0,0,NA,NA,,,,,,,,NA
latency-10min-async-limited,run-02-router,overall,2156,361,1795,16.74%,83.26%,5979.07,1108.59,35935.09,132969.02,0.81,1227447.14,,1.000563
latency-10min-async-limited,run-02-router,baseline,179,179,0,100.00%,0.00%,3.18,3.36,5.25,6.16,1.04,6.36,,1.000563
latency-10min-async-limited,run-02-router,fault,1798,3,1795,0.17%,99.83%,7168.92,2051.15,37292.66,133254.14,1.98,1227447.14,,1.000563
latency-10min-async-limited,run-02-router,after,179,179,0,100.00%,0.00%,3.27,3.58,5.17,5.83,0.81,6.45,,1.000563
latency-10min-async-limited,run-03-router,overall,607,181,426,29.82%,70.18%,10945.28,1057.43,4010.23,37867.31,0.84,3324344.70,,NA
latency-10min-async-limited,run-03-router,baseline,179,179,0,100.00%,0.00%,3.12,3.45,4.80,5.88,0.84,7.89,,NA
latency-10min-async-limited,run-03-router,fault,428,2,426,0.47%,99.53%,15521.56,1690.58,12082.73,38869.35,3.90,3324344.70,,NA
latency-10min-async-limited,run-03-router,after,0,0,0,NA,NA,,,,,,,,NA
latency-10min-async-limited,run-04-router,overall,2156,362,1794,16.79%,83.21%,6567.44,1107.47,36723.98,134561.79,0.95,644960.95,,1.354839
latency-10min-async-limited,run-04-router,baseline,180,180,0,100.00%,0.00%,3.35,3.40,5.68,8.53,1.04,12.19,,1.354839
latency-10min-async-limited,run-04-router,fault,1796,2,1794,0.11%,99.89%,7882.64,2051.12,38305.99,134913.39,39.63,644960.95,,1.354839
latency-10min-async-limited,run-04-router,after,180,180,0,100.00%,0.00%,8.80,3.20,4.83,8.56,0.95,1047.55,,1.354839
latency-10min-async-limited,run-05-router,overall,2156,363,1793,16.84%,83.16%,5050.77,1105.41,35729.39,70335.31,1.05,659943.63,,1.418457
latency-10min-async-limited,run-05-router,baseline,180,180,0,100.00%,0.00%,3.34,3.62,5.03,5.65,1.21,6.16,,1.418457
latency-10min-async-limited,run-05-router,fault,1796,3,1793,0.17%,99.83%,6061.90,2050.74,37083.00,70788.04,6.60,659943.63,,1.418457
latency-10min-async-limited,run-05-router,after,180,180,0,100.00%,0.00%,9.36,3.29,5.38,60.93,1.05,1062.45,,1.418457
latency-10min-async-limited,run-06-router,overall,2156,361,1795,16.74%,83.26%,7290.65,1110.72,38321.36,134753.53,1.11,673449.79,,1.225996
latency-10min-async-limited,run-06-router,baseline,180,180,0,100.00%,0.00%,3.14,3.29,5.01,7.26,1.11,8.50,,1.225996
latency-10min-async-limited,run-06-router,fault,1796,1,1795,0.06%,99.94%,8750.84,2055.70,68462.66,135014.64,40.19,673449.79,,1.225996
latency-10min-async-limited,run-06-router,after,180,180,0,100.00%,0.00%,8.61,2.87,5.25,8.12,1.16,1007.85,,1.225996
latency-10min-async-limited,run-07-router,overall,1234,181,1053,14.67%,85.33%,15610.06,1151.72,71095.65,135810.03,0.93,3520135.79,,NA
latency-10min-async-limited,run-07-router,baseline,180,180,0,100.00%,0.00%,2.98,2.94,5.01,7.19,0.93,9.10,,NA
latency-10min-async-limited,run-07-router,fault,1054,1,1053,0.09%,99.91%,18275.40,2066.66,132582.03,135942.53,4.19,3520135.79,,NA
latency-10min-async-limited,run-07-router,after,0,0,0,NA,NA,,,,,,,,NA
latency-10min-async-limited,run-08-router,overall,2156,363,1793,16.84%,83.16%,6204.23,1109.34,37124.07,133224.04,0.93,665515.52,,1.06859
latency-10min-async-limited,run-08-router,baseline,180,180,0,100.00%,0.00%,3.23,3.44,5.30,8.57,1.03,8.85,,1.06859
latency-10min-async-limited,run-08-router,fault,1796,3,1793,0.17%,99.83%,7446.62,2051.37,38266.86,134049.39,9.88,665515.52,,1.06859
latency-10min-async-limited,run-08-router,after,180,180,0,100.00%,0.00%,8.90,3.51,5.51,10.22,0.93,1004.00,,1.06859
latency-10min-async-limited,run-09-router,overall,2156,362,1794,16.79%,83.21%,7498.45,1114.32,39129.84,134671.04,1.09,739962.21,,0.981459
latency-10min-async-limited,run-09-router,baseline,179,179,0,100.00%,0.00%,3.28,3.44,5.14,8.05,1.11,8.61,,0.981459
latency-10min-async-limited,run-09-router,fault,1798,4,1794,0.22%,99.78%,8990.77,2052.76,69150.39,135018.90,2.29,739962.21,,0.981459
latency-10min-async-limited,run-09-router,after,179,179,0,100.00%,0.00%,3.68,3.49,4.99,7.20,1.09,79.06,,0.981459
