timestamp,status_code,response_time_ms,success,error
2026-05-30T12:48:51.220622+00:00,200,2.34,True,
2026-05-30T12:48:52.223192+00:00,200,6.38,True,
2026-05-30T12:48:53.229912+00:00,200,5.21,True,
2026-05-30T12:48:54.235456+00:00,200,3.42,True,
2026-05-30T12:48:55.239035+00:00,200,3.1,True,
2026-05-30T12:48:56.242319+00:00,200,2.13,True,
2026-05-30T12:48:57.244743+00:00,200,2.82,True,
2026-05-30T12:48:58.247767+00:00,200,4.81,True,
2026-05-30T12:48:59.252874+00:00,200,3.3,True,
2026-05-30T12:49:00.256418+00:00,200,2.4,True,
2026-05-30T12:49:01.259600+00:00,200,1.76,True,
2026-05-30T12:49:02.262063+00:00,200,8.42,True,
2026-05-30T12:49:03.271009+00:00,200,3.62,True,
2026-05-30T12:49:04.274926+00:00,200,2.76,True,
2026-05-30T12:49:05.278007+00:00,200,3.92,True,
2026-05-30T12:49:06.288477+00:00,200,4.06,True,
2026-05-30T12:49:07.292766+00:00,200,2.84,True,
2026-05-30T12:49:08.295907+00:00,200,2.53,True,
2026-05-30T12:49:09.298725+00:00,200,2.33,True,
2026-05-30T12:49:10.301301+00:00,200,4.97,True,
2026-05-30T12:49:11.306720+00:00,200,2.94,True,
2026-05-30T12:49:12.309920+00:00,200,2.54,True,
2026-05-30T12:49:13.312771+00:00,200,2.49,True,
2026-05-30T12:49:14.315467+00:00,200,2.94,True,
2026-05-30T12:49:15.318693+00:00,200,2.69,True,
2026-05-30T12:49:16.321685+00:00,200,4.34,True,
2026-05-30T12:49:17.326359+00:00,200,5.1,True,
2026-05-30T12:49:18.331922+00:00,200,2.96,True,
2026-05-30T12:49:19.335253+00:00,200,3.36,True,
2026-05-30T12:49:20.338972+00:00,200,3.23,True,
2026-05-30T12:49:21.342505+00:00,200,3.39,True,
2026-05-30T12:49:22.346285+00:00,200,6.0,True,
2026-05-30T12:49:23.352629+00:00,200,1.79,True,
2026-05-30T12:49:24.354714+00:00,200,3.9,True,
2026-05-30T12:49:25.359017+00:00,200,5.37,True,
2026-05-30T12:49:26.364683+00:00,200,5.32,True,
2026-05-30T12:49:27.370447+00:00,200,2.93,True,
2026-05-30T12:49:28.373921+00:00,200,6.0,True,
2026-05-30T12:49:29.380214+00:00,200,4.18,True,
